City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,79.79,74,4,1.5,PF,2021-03-04 19:47:54
1,Castro,-24.7911,-50.0119,70.54,87,89,8.81,BR,2021-03-04 19:51:34
2,Haines Junction,60.7522,-137.5108,19.4,63,100,4.61,CA,2021-03-04 19:51:34
3,Dingle,10.9995,122.6711,74.62,91,24,7.74,PH,2021-03-04 19:51:34
4,Busselton,-33.65,115.3333,66.0,98,81,7.29,AU,2021-03-04 19:51:34
5,Ushuaia,-54.8,-68.3,59.0,51,20,5.75,AR,2021-03-04 19:51:35
6,Airai,-8.9266,125.4092,59.07,100,41,1.66,TL,2021-03-04 19:51:35
7,Gat,31.61,34.7642,54.0,100,7,4.56,IL,2021-03-04 19:51:35
8,Shuangcheng,45.35,126.2833,19.4,86,75,17.9,CN,2021-03-04 19:51:36
9,Punta Arenas,-53.15,-70.9167,64.4,27,0,19.57,CL,2021-03-04 19:49:08
10,Mumbwa,-14.9783,27.0619,64.38,96,90,3.56,ZM,2021-03-04 19:51:36
11,Dengzhou,37.8086,120.7508,43.05,77,62,10.63,CN,2021-03-04 19:51:36
12,Kapaa,22.0752,-159.319,71.6,68,40,20.71,US,2021-03-04 19:51:37
13,Hasaki,35.7333,140.8333,46.99,100,75,2.3,JP,2021-03-04 19:51:37
14,Sola,-13.8833,167.55,79.34,88,100,25.9,VU,2021-03-04 19:51:37
15,Okha,53.5739,142.9478,-5.53,91,100,10.38,RU,2021-03-04 19:49:42
16,Katsuura,35.1333,140.3,51.8,82,75,1.14,JP,2021-03-04 19:51:38
17,Albany,42.6001,-73.9662,34.0,35,5,10.0,US,2021-03-04 19:51:38
18,Bengkulu,-3.8004,102.2655,76.68,85,100,4.88,ID,2021-03-04 19:51:38
19,Hobart,-42.8794,147.3294,52.0,58,40,17.27,AU,2021-03-04 19:51:38
20,Barrow,71.2906,-156.7887,-25.6,68,1,10.36,US,2021-03-04 19:49:08
